fdc_id,nutrient_id,amount
1105979,1104,0
1105979,1079,0
1105979,1257,0
1105979,1110,0
1105979,1005,0
1105979,1253,58
1105979,1003,17.86
1105979,1008,54
1105979,1092,0
1105979,1093,482
1105979,1258,2.68
1105979,1162,0
1105979,1004,8.04
1105979,1087,0
1105980,1079,0
1105980,1104,0
1105980,1003,15.18
1105980,1005,0.89
1105980,1089,0.64
1105980,1258,5.36
1105980,1257,0
1105980,1253,62
1105980,1110,0
1105980,1008,143
1105980,1004,15.18
1105980,1093,62
1105980,1087,0
1105980,2000,0
1105980,1162,0
1105981,1008,54
1105981,1005,0
1105981,1258,2.23
1105981,1093,232
1105981,1104,0
1105981,1087,0
1105981,1110,0
1105981,1257,0
1105981,1004,6.25
1105981,2000,0
1105981,1003,18.75
1105981,1079,0
1105981,1162,0
1105981,1253,58
1105981,1089,0.32
1105982,1093,812
1105982,1258,2.68
1105982,1004,8.04
1105982,1089,0.64
1105982,1005,1.79
1105982,1253,58
1105982,1008,71
1105982,1257,8.04
1105982,1003,16.96
1105983,1162,3.2
1105983,1004,2.23
1105983,1093,491
1105983,1089,0.64
1105983,1253,54
1105983,1005,3.57
1105983,1258,0.89
1105983,1079,0
1105983,1087,0
1105983,1104,0
1105983,1008,22
1105983,1003,17.86
1105984,1257,0
1105984,1079,0
1105984,1162,0
1105984,1093,241
1105984,1258,2.68
1105984,1003,17.86
1105984,1008,71
1105984,1104,0
1105984,1005,0
1105984,1089,0.64
1105984,1092,0
1105984,1253,58
1105984,1087,0
1105984,1110,0
1105984,1004,8.04
1105985,1258,6.25
1105985,1079,0
1105985,1253,58
1105985,1087,18
1105985,1104,89
1105985,1089,0
1105985,1004,15.18
1105985,1162,1.1
1105985,1110,0
1105985,1008,205
1105985,2000,1.79
1105985,1003,14.29
1105985,1093,295
1105985,1005,0
1105986,1087,0
1105986,1003,18.75
1105986,1162,0
1105986,1257,0
1105986,1004,2.23
1105986,1253,54
1105986,1104,0
1105986,1093,121
1105986,2000,0
1105986,1089,0.96
1105986,1079,0
1105986,1008,18
1105986,1258,0.89
1105986,1178,0
1105986,1005,0
1105986,1110,0
1105987,1008,54
1105987,1257,0
1105987,1005,0
1105987,1089,0.32
1105987,1258,2.23
1105987,1003,18.75
1105987,1093,232
1105987,1162,0
1105987,1253,58
1105987,1104,0
1105987,2000,0
1105987,1079,0
1105987,1087,0
1105987,1110,0
1105987,1004,6.25
1105988,1004,6.25
1105988,1258,2.23
1105988,1162,0
1105988,1079,0
1105988,1087,0
1105988,1257,0
1105988,1008,54
1105988,1110,0
1105988,1003,18.75
1105988,1093,232
1105988,1089,0.32
1105988,1005,0
1105988,1253,58
1105988,1104,0
1105989,1087,0
1105989,1162,1.1
1105989,1079,0
1105989,1089,0
1105989,1008,18
1105989,1005,3.57
1105989,1093,482
1105989,1253,54
1105989,2000,1.79
1105989,1258,0.89
1105989,1004,2.23
1105989,1003,17.86
1105990,1004,8.93
1105990,1258,3.12
1105990,1093,304
1105990,1005,0
1105990,1253,49
1105990,1008,80
1105990,1087,18
1105990,1089,0.64
1105990,1003,17.86
1105991,1162,0
1105991,1089,0.64
